Transaction_ID,Book_Title,Genre,Customer_Age_Group,Customer_Gender,Region,Units_Sold,Price_per_Unit,Cost_per_Unit,Purchase_Date,Total_Sales,Total_Cost,Profit,Profit_Margin
a1fb2ff3-edf6-4767-a72f-ebce025f3bdb,Portfolio Management,Finance,18-25,Female,South America,7,89.73,30.75,2026-01-29,628.11,215.25,412.86,65.73
078ca0d1-8431-4b09-85a2-3a414a6475a4,Financial Modeling Guide,Economics,60+,Male,South America,17,83.45,46.96,2024-12-16,1418.65,798.32,620.33,43.73
ce36a814-ab84-4140-9741-e2f1f734588c,Business Valuation Mastery,Accounting,36-45,Female,Africa,6,11.71,43.62,2024-06-27,70.26,261.71999999999997,-191.45999999999998,-272.5
7896dc22-e1ba-4116-badd-5d92014579e1,Equity Analysis Handbook,Economics,46-60,Female,Europe,19,76.23,12.68,2025-12-03,1448.3700000000001,240.92,1207.45,83.37
a3af1e71-88f1-4f5d-9334-c29b42f193b0,Portfolio Management,Economics,36-45,Male,Africa,6,28.76,24.65,2024-05-02,172.56,147.89999999999998,24.660000000000025,14.29
dc2aa212-f0f0-4238-a53a-2cdf32b19d56,Accounting Principles,Economics,26-35,Male,Europe,2,21.96,25.88,2025-08-12,43.92,51.76,-7.839999999999996,-17.85
25ea2cd9-ac80-4845-a734-68e7629f2d18,Investment Strategies,Economics,18-25,Male,Africa,6,67.46,40.51,2025-09-30,404.76,243.06,161.7,39.95
2e312086-0799-4160-a48b-cb479347f8c0,Portfolio Management,Business,60+,Male,South America,5,38.78,32.13,2025-01-06,193.9,160.65,33.25,17.15
3961b320-aa15-494c-ad65-b037c415ff11,Business Valuation Mastery,Business,60+,Male,South America,19,15.14,34.44,2025-09-23,287.66,654.3599999999999,-366.6999999999999,-127.48
3d5df6a6-6204-4c64-9b1f-3e8d336e7b54,Equity Analysis Handbook,Investment,18-25,Female,North America,4,22.39,49.92,2024-11-07,89.56,199.68,-110.12,-122.96
fec3afbc-a739-4681-89d0-7563cecc99e1,Financial Modeling Guide,Finance,18-25,Female,Asia,17,10.08,8.37,2024-07-28,171.36,142.29,29.07000000000002,16.96
9551000c-796f-4808-9aa9-40a9899bc08b,Business Valuation Mastery,Economics,26-35,Female,Africa,11,91.29,15.04,2024-09-06,1004.19,165.44,838.75,83.53
f694ed5b-b8f9-4ef5-b3c0-cc4c548df94d,Business Valuation Mastery,Investment,36-45,Female,North America,4,12.22,23.36,2025-03-04,48.88,93.44,-44.559999999999995,-91.16
82927b41-56ea-4ebc-9faf-e682abcd7d43,Investment Strategies,Finance,60+,Female,Asia,13,28.85,20.65,2025-01-14,375.05,268.45,106.60000000000002,28.42
28e8586e-93d4-456b-97cb-ea782f6f18d4,Risk Management Essentials,Accounting,26-35,Female,Africa,17,47.46,5.97,2026-02-13,806.82,101.49,705.33,87.42
ed377ff5-126d-4f47-8d3f-10d125860ff4,Equity Analysis Handbook,Business,36-45,Female,Europe,9,42.09,9.13,2024-06-10,378.81000000000006,82.17,296.64000000000004,78.31
329fba9c-fe0c-4d73-857e-af7041b0d33d,Corporate Finance Basics,Finance,26-35,Male,Asia,4,92.06,35.64,2025-06-04,368.24,142.56,225.68,61.29
ef5e1f36-52fa-4b68-8b3c-100bd11cf4ca,Business Valuation Mastery,Accounting,60+,Male,South America,14,13.63,44.57,2025-11-03,190.82000000000002,623.98,-433.15999999999997,-227.0
f27ab798-f47b-43a3-ba0c-78f43d7bbbde,Risk Management Essentials,Finance,18-25,Female,North America,19,56.1,28.14,2025-06-16,1065.9,534.66,531.2400000000001,49.84
78280461-077c-4500-b105-bcad7599d55d,Corporate Finance Basics,Business,18-25,Female,Asia,3,71.24,29.26,2025-09-09,213.71999999999997,87.78,125.93999999999997,58.93
acb46fe9-ef11-4de7-8828-f2dc09bb8650,Equity Analysis Handbook,Business,36-45,Male,Asia,14,93.85,16.48,2024-07-29,1313.8999999999999,230.72,1083.1799999999998,82.44
819d84b6-1d63-4d66-ae00-86687c66bbb0,Valuation Fundamentals,Investment,46-60,Male,South America,8,65.83,39.55,2025-05-13,526.64,316.4,210.24,39.92
9d936cda-9f80-4100-bcb4-2f1fdd33c044,Accounting Principles,Economics,36-45,Male,Africa,1,82.34,38.83,2024-11-06,82.34,38.83,43.510000000000005,52.84
8110058d-573d-45d2-9cad-78261ab10db4,Risk Management Essentials,Finance,46-60,Male,Europe,10,17.54,31.48,2024-08-13,175.39999999999998,314.8,-139.40000000000003,-79.48
5abd3ace-f8aa-4287-bfdd-776828fe801f,Stock Market Guide,Finance,26-35,Female,South America,18,44.73,14.57,2025-01-04,805.14,262.26,542.88,67.43
c10b34a6-179a-4c04-9053-e639f91039fe,Valuation Fundamentals,Accounting,26-35,Male,Europe,16,43.66,9.37,2025-01-18,698.56,149.92,548.64,78.54
f965584f-1b82-4206-98db-bbabc0412227,Accounting Principles,Business,60+,Female,Africa,8,89.77,7.89,2025-07-09,718.16,63.12,655.04,91.21
ce20f761-6270-4a30-9b22-e377dbc7b9b8,Investment Strategies,Finance,46-60,Female,Asia,1,23.62,31.67,2024-07-28,23.62,31.67,-8.05,-34.08
988e31ba-5479-4977-8548-8f908d9b5c9f,Portfolio Management,Business,60+,Female,Europe,12,23.67,42.13,2024-05-08,284.04,505.56000000000006,-221.52000000000004,-77.99
e727288a-88b8-45d7-a007-b9ce94a82a70,Financial Modeling Guide,Finance,18-25,Male,North America,8,39.57,43.62,2025-05-02,316.56,348.96,-32.39999999999998,-10.24
52ebde0d-b05b-489a-abec-841f91da4b76,Stock Market Guide,Investment,46-60,Male,North America,16,14.9,25.86,2026-01-28,238.4,413.76,-175.35999999999999,-73.56
9f1bab49-e7c2-46c1-a0a8-0d2d31b0dac9,Investment Strategies,Economics,36-45,Female,South America,18,26.42,40.29,2026-01-05,475.56000000000006,725.22,-249.65999999999997,-52.5
f0a9d6f4-e145-4fc4-89f4-d976f5384a29,Equity Analysis Handbook,Finance,18-25,Female,Africa,4,96.87,47.61,2025-08-30,387.48,190.44,197.04000000000002,50.85
f2a2ca98-c6c9-4821-8ce7-2a78ec2d589e,Investment Strategies,Business,18-25,Female,South America,6,48.54,17.38,2025-08-10,291.24,104.28,186.96,64.19
d4cdb664-0c7e-4074-b38c-06f0212d36ea,Portfolio Management,Investment,36-45,Male,South America,12,66.88,22.91,2025-11-14,802.56,274.92,527.6399999999999,65.74
5ed46f03-22a2-406d-bf1b-fb70ec992a5a,Equity Analysis Handbook,Finance,18-25,Female,South America,9,75.35,46.92,2025-08-05,678.15,422.28000000000003,255.86999999999995,37.73
cb3f6650-a851-4cfc-a088-2df4bc9e361e,Stock Market Guide,Accounting,46-60,Male,North America,15,43.03,20.22,2025-07-13,645.45,303.29999999999995,342.1500000000001,53.01
d8df747f-c947-4cd2-8c13-41c77c710e8f,Portfolio Management,Economics,60+,Female,North America,16,23.25,46.12,2025-05-23,372.0,737.92,-365.91999999999996,-98.37
623881e4-b5fd-4e9d-ae42-5769168c3201,Corporate Finance Basics,Finance,18-25,Female,South America,12,28.59,49.15,2024-05-24,343.08,589.8,-246.71999999999997,-71.91
e8445aad-d41d-4d2a-a0d6-cbef0fb566d5,Financial Modeling Guide,Investment,46-60,Female,North America,14,38.19,34.78,2025-04-08,534.66,486.92,47.73999999999995,8.93
0156e7b8-e06f-461c-a1bf-28c422f9dce4,Stock Market Guide,Accounting,26-35,Male,Africa,13,67.25,41.76,2025-03-19,874.25,542.88,331.37,37.9
64b63a3d-0d73-4cb2-8f77-ebdb0512aec2,Corporate Finance Basics,Investment,46-60,Male,South America,2,45.85,38.73,2026-01-25,91.7,77.46,14.240000000000009,15.53
e6a33d79-fba4-4350-8c85-a6e75c39c37b,Accounting Principles,Investment,60+,Female,North America,3,10.61,36.48,2025-09-03,31.83,109.44,-77.61,-243.83
55d54cd1-d64e-4b15-9c9c-beb660c5802c,Stock Market Guide,Accounting,46-60,Male,Europe,10,57.11,18.81,2026-01-18,571.1,188.1,383.0,67.06
1567aef4-fa9f-448b-8570-d058dcb44da0,Accounting Principles,Investment,36-45,Female,South America,9,92.94,7.57,2024-11-04,836.46,68.13,768.33,91.85
5918e716-44d8-4f0e-82ff-d2d6252d3099,Equity Analysis Handbook,Accounting,60+,Male,South America,8,83.09,20.44,2025-05-03,664.72,163.52,501.20000000000005,75.4
4ea28809-a2ea-488e-b3db-35a88380cc97,Corporate Finance Basics,Finance,26-35,Male,Africa,10,84.27,35.01,2024-08-10,842.6999999999999,350.09999999999997,492.59999999999997,58.45
36a5a7cc-2fad-458d-b10e-ec1bc1cb5052,Financial Modeling Guide,Accounting,36-45,Male,Asia,19,81.56,9.61,2024-10-09,1549.64,182.58999999999997,1367.0500000000002,88.22
1034fa0b-b0a7-4f84-89ef-47f00628b444,Portfolio Management,Accounting,46-60,Female,Asia,3,39.14,5.54,2024-03-14,117.42,16.62,100.8,85.85
ae9f0bfd-c423-4910-aca9-341402483ffc,Business Valuation Mastery,Economics,60+,Male,Africa,5,78.87,11.29,2025-01-27,394.35,56.449999999999996,337.90000000000003,85.69
29354ae7-6432-4cdc-a24b-f3ae157327c8,Investment Strategies,Accounting,26-35,Male,Africa,3,22.88,37.21,2024-07-05,68.64,111.63,-42.989999999999995,-62.63
ed347a16-8221-4b6e-a0a5-ffd78d7989d5,Valuation Fundamentals,Accounting,36-45,Female,Africa,16,69.19,48.78,2024-03-29,1107.04,780.48,326.55999999999995,29.5
a498b203-567c-4251-a229-9ccf79e62e50,Financial Modeling Guide,Finance,26-35,Female,Asia,17,67.74,49.24,2024-07-21,1151.58,837.08,314.4999999999999,27.31
