Month,Book_ID,Region,Units_Sold,Book_Title,Category,Format,Price,Revenue,Cost_Per_Unit,Cost,Profit,Profit_Margin,Age_Group,Gender,Job_Level
2024-01-01,1,UK,37,Leaders Eat Last,Emotional Intelligence,Audiobook,15.31,566.47,8.15425050130208,301.70726854817696,264.7627314518231,0.4673905616393155,26-35,Female,Executive
2024-01-01,1,USA,46,Leaders Eat Last,Emotional Intelligence,Audiobook,15.31,704.26,8.395686553147586,386.2015814447889,318.05841855521106,0.45162073460825697,46-55,Male,Executive
2024-01-01,1,Europe,40,Leaders Eat Last,Emotional Intelligence,Audiobook,15.31,612.4,8.721878510775186,348.8751404310074,263.52485956899255,0.4303149241818951,56+,Male,Student
2024-01-01,1,Canada,33,Leaders Eat Last,Emotional Intelligence,Audiobook,15.31,505.23,7.418090601255671,244.79698984143715,260.43301015856287,0.5154741605972781,56+,Female,Manager
2024-01-01,1,Australia,46,Leaders Eat Last,Emotional Intelligence,Audiobook,15.31,704.26,7.051574433070995,324.37242392126575,379.88757607873424,0.5394138188719141,56+,Other,Manager
2024-01-01,2,UK,30,Good to Great,Strategic Leadership,Audiobook,14.55,436.5,6.766608840007021,202.99826520021062,233.50173479978938,0.5349409731953938,56+,Male,Manager
2024-01-01,2,USA,39,Good to Great,Strategic Leadership,Audiobook,14.55,567.45,7.893728079316673,307.85539509335024,259.5946049066498,0.45747573338029746,46-55,Male,CEO
2024-01-01,2,Europe,40,Good to Great,Strategic Leadership,Audiobook,14.55,582.0,8.196828247531402,327.87312990125605,254.12687009874395,0.43664410669887277,56+,Other,Executive
2024-01-01,2,Canada,50,Good to Great,Strategic Leadership,Audiobook,14.55,727.5,6.348496646171714,317.42483230858574,410.07516769141426,0.5636772064486794,18-25,Male,Executive
2024-01-01,2,Australia,43,Good to Great,Strategic Leadership,Audiobook,14.55,625.65,6.899438333739098,296.6758483507812,328.97415164921875,0.5258117983684468,26-35,Male,CEO
2024-01-01,3,UK,40,The 7 Habits of Highly Effective People,Personal Leadership,Audiobook,14.59,583.6,8.467861494114018,338.71445976456073,244.8855402354393,0.41961196065017015,36-45,Other,Manager
2024-01-01,3,USA,49,The 7 Habits of Highly Effective People,Personal Leadership,Audiobook,14.59,714.91,8.189931690469248,401.3066528329931,313.60334716700686,0.43866129606105225,36-45,Male,CEO
2024-01-01,3,Europe,51,The 7 Habits of Highly Effective People,Personal Leadership,Audiobook,14.59,744.09,8.709816819260904,444.2006577823061,299.8893422176939,0.4030283194475049,36-45,Male,Executive
2024-01-01,3,Canada,34,The 7 Habits of Highly Effective People,Personal Leadership,Audiobook,14.59,496.06,8.036896421752312,273.2544783395786,222.8055216604214,0.44915034806358384,36-45,Female,CEO
